# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.121549 -----------------
#dely    BF    dB     BFVar
0.050 -0.1430 -0.0001  0.0034
0.150 -0.1350 -0.0001  0.0032
0.250 -0.1268 -0.0001  0.0023
0.350 -0.1148 -0.0001  0.0045
0.450 -0.1062 -0.0001  0.0034
0.550 -0.0965 -0.0001  0.0038
0.650 -0.0882 -0.0001  0.0030
0.750 -0.0781 -0.0001  0.0026
0.850 -0.0691 -0.0001  0.0013
0.950 -0.0609 -0.0001  0.0014
1.050 -0.0515 -0.0001  0.0016
1.150 -0.0438 -0.0000  0.0017
1.250 -0.0356 -0.0000  0.0010
1.350 -0.0265 -0.0000  0.0017
1.450 -0.0191 -0.0000  0.0013
1.550 -0.0122 -0.0000  0.0006
1.650 -0.0063 -0.0000  0.0005
1.750 -0.0018 -0.0000  0.0002
