# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0311387 -----------------
#dely    BF    dB     BFVar
0.050 -0.0344 -0.0000  0.0023
0.150 -0.0329 -0.0000  0.0037
0.250 -0.0289 -0.0000  0.0026
0.350 -0.0270 -0.0000  0.0034
0.450 -0.0238 -0.0000  0.0043
0.550 -0.0210 -0.0000  0.0013
0.650 -0.0205 -0.0000  0.0020
0.750 -0.0200 -0.0000  0.0014
0.850 -0.0192 -0.0000  0.0008
0.950 -0.0187 -0.0000  0.0009
1.050 -0.0170 -0.0000  0.0012
1.150 -0.0153 -0.0000  0.0009
1.250 -0.0124 -0.0000  0.0006
1.350 -0.0093 -0.0000  0.0007
1.450 -0.0063 -0.0000  0.0003
1.550 -0.0034 -0.0000  0.0003
1.650 -0.0013 -0.0000  0.0001
1.750 -0.0001 -0.0000  0.0000
