# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.114377 -----------------
#dely    BF    dB     BFVar
0.050 -0.1457 -0.0001  0.0032
0.150 -0.1370 -0.0001  0.0025
0.250 -0.1273 -0.0001  0.0025
0.350 -0.1139 -0.0001  0.0038
0.450 -0.1018 -0.0001  0.0028
0.550 -0.0913 -0.0001  0.0048
0.650 -0.0823 -0.0001  0.0029
0.750 -0.0725 -0.0001  0.0033
0.850 -0.0638 -0.0001  0.0019
0.950 -0.0536 -0.0001  0.0017
1.050 -0.0462 -0.0001  0.0015
1.150 -0.0371 -0.0001  0.0010
1.250 -0.0284 -0.0000  0.0015
1.350 -0.0203 -0.0000  0.0011
1.450 -0.0130 -0.0000  0.0015
1.550 -0.0071 -0.0000  0.0005
1.650 -0.0022 -0.0000  0.0001
1.750 -0.0002 -0.0000  0.0000
