# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0315154 -----------------
#dely    BF    dB     BFVar
0.050 -0.0253 -0.0000  0.0015
0.150 -0.0266 -0.0000  0.0036
0.250 -0.0244 -0.0000  0.0024
0.350 -0.0243 -0.0000  0.0025
0.450 -0.0232 -0.0000  0.0034
0.550 -0.0228 -0.0000  0.0018
0.650 -0.0222 -0.0000  0.0022
0.750 -0.0223 -0.0000  0.0011
0.850 -0.0211 -0.0000  0.0008
0.950 -0.0203 -0.0000  0.0014
1.050 -0.0193 -0.0000  0.0010
1.150 -0.0172 -0.0000  0.0011
1.250 -0.0156 -0.0000  0.0007
1.350 -0.0119 -0.0000  0.0008
1.450 -0.0089 -0.0000  0.0005
1.550 -0.0059 -0.0000  0.0007
1.650 -0.0030 -0.0000  0.0004
1.750 -0.0011 -0.0000  0.0001
